time,open,high,low,close,MHULL,SHULL
1507968000,5610,5722.88,5560.74,5654.21,5582.738614667078,5479.878152056277
1507982400,5660.43,5767.14,5643.97,5690.96,5629.825450027486,5533.091444538927
1507996800,5702.39,5750.01,5636.01,5694.2,5674.310393183536,5582.738614667078
1508011200,5694.2,5817.34,5651,5801.29,5719.209013614032,5629.825450027486
1508025600,5795.01,5830,5739.19,5764,5762.29362244898,5674.310393183536
1508040000,5764,5788.4,5715.99,5730.21,5802.205552600839,5719.209013614032
1508054400,5748.9,5749,5415,5417.62,5830.388098914314,5762.29362244898
1508068800,5415,5570,5415,5520.14,5850.596761586958,5802.205552600839
1508083200,5534.16,5549.44,5452.95,5492.8,5862.7025164828565,5830.388098914314
1508097600,5496.04,5730.95,5455.65,5679.7,5872.637832216725,5850.596761586958
1508112000,5683.92,5718.99,5590,5596.23,5878.150506149936,5862.7025164828565
1508126400,5596.23,5674.06,5561.99,5617.73,5880.706888218925,5872.637832216725
1508140800,5615.89,5745,5548,5733,5883.994115294097,5878.150506149936
1508155200,5733,5747.97,5656,5699.95,5886.984424182299,5880.706888218925
1508169600,5699.92,5720.28,5635,5720.28,5889.101954064454,5883.994115294097
1508184000,5720.81,5807.11,5667.84,5745.72,5890.436824503539,5886.984424182299
1508198400,5752.2,5776.31,5580,5631.74,5887.29290702089,5889.101954064454
1508212800,5630.95,5674.06,5604.23,5655.08,5881.0710783257755,5890.436824503539
1508227200,5654.94,5696,5534.32,5565,5869.558632197829,5887.29290702089
1508241600,5564.98,5615,5506.78,5584.96,5854.151960429122,5881.0710783257755
1508256000,5584,5637.91,5561.99,5628.32,5837.454233044734,5869.558632197829
1508270400,5625.63,5639.9,5550,5597.31,5819.38751351096,5854.151960429122
1508284800,5591.97,5597.34,5450.02,5493.3,5798.016453634989,5837.454233044734
1508299200,5492.7,5540,5265.06,5283.47,5769.1751824537905,5819.38751351096
1508313600,5289.5,5398.01,5238.87,5304.2,5735.051446153715,5798.016453634989
1508328000,5304.2,5370,5101.36,5324.07,5697.913656806157,5769.1751824537905
1508342400,5324.07,5446.39,5320.12,5390.69,5660.720260891226,5735.051446153715
1508356800,5390.59,5617.75,5387.88,5582.05,5629.371532484712,5697.913656806157
1508371200,5572.64,5643,5512.06,5624.88,5605.021796579743,5660.720260891226
1508385600,5625,5670,5546.03,5605,5586.854582019171,5629.371532484712
1508400000,5605,5730.95,5590.04,5682.2,5576.353165086236,5605.021796579743
1508414400,5682.2,5735,5610.36,5640.04,5570.787593992647,5586.854582019171
1508428800,5645.79,5699.43,5617.75,5627.36,5568.466664914451,5576.353165086236
1508443200,5627.36,5735.14,5617.75,5698.69,5570.085273440184,5570.787593992647
1508457600,5700,5726.24,5657.01,5681.12,5573.472512540369,5568.466664914451
1508472000,5681.12,5719,5589.8,5639.97,5576.893057737236,5570.085273440184
1508486400,5633.47,5673.72,5618.23,5645,5580.225950525664,5573.472512540369
1508500800,5645,6000.1,5635,5964.24,5591.945140297532,5576.893057737236
1508515200,5964.24,6065,5886.6,6045,5612.738985046038,5580.225950525664
1508529600,6045,6074,5924.14,5977.29,5638.858196385625,5591.945140297532
1508544000,5977.26,6118,5941.14,6099,5672.164586365355,5612.738985046038
