time,open,high,low,close,Volume
1463500800,454.41,454.88,452.44,453.42,704.30396364
1463515200,453.43,453.45,452,453.08,692.72872738
1463529600,452.96,454.19,452.01,454.17,169.93342338
1463544000,453.51,454.85,453.23,454.82,170.22536198
1463558400,454.16,454.85,452.28,454.71,491.74844087
1463572800,454.71,455.68,453.54,455.4,693.13216732
1463587200,455.42,455.42,453.52,454.02,662.01337122
1463601600,454.84,454.89,452,452.92,421.17898894
1463616000,452.47,453.85,452.13,453.5,232.72869635
1463630400,452.54,453.62,452.1,452.52,343.99620503
1463644800,452.91,453.21,447.25,448.71,1925.00012579
1463659200,448.13,450.25,447.12,448.22,885.54661136
1463673600,448.22,448.82,441.94,441.94,1496.75689276
1463688000,441.94,444.63,435.03,436.3,1077.08655458
1463702400,436.3,441.16,435.06,439.46,940.26103342
1463716800,438.9,443.56,438.5,443.33,385.33774579
1463731200,443.04,443.64,440.68,443.64,498.41529097
1463745600,443,444.41,441.7,442.4,624.99806855
1463760000,442.4,443.76,440.01,441.35,651.96224633
1463774400,441.35,442.72,440.5,442.72,328.50562719
1463788800,442.84,443.23,441.92,442.64,75.19516554
1463803200,442.64,442.98,435.28,440.26,1048.37843974
1463817600,440.34,443.39,440.01,442.6,304.66137463
1463832000,442.52,443.44,442.3,442.94,164.91383975
1463846400,442.48,443.36,441.7,443.21,228.57044757
1463860800,443.04,443.98,442.51,443.31,94.71556509
1463875200,442.72,443.47,441.95,442.12,79.74133346
1463889600,442.67,442.91,440.81,441.79,71.98182631
1463904000,441.72,443.38,441.33,441.99,173.10110638
1463918400,442,443.08,439.9,442,356.33233897
1463932800,442,442.2,437.2,438.82,683.08977594
1463947200,438.94,440.7,435,438.8,986.43568232
1463961600,438.72,439,436.4,439,398.92236661
1463976000,439.79,440.99,439.47,440.28,455.1142907
1463990400,439.72,441.9,437.4,441,681.13061131
1464004800,441.56,441.99,440,441.94,470.78518431
1464019200,441.94,442.9,441,442.03,371.76687313
1464033600,442.06,442.99,441.02,442.99,247.88130609
1464048000,442.63,443.51,441,442.96,287.02736158
1464062400,443.04,444.5,442.4,444.45,424.00317454
1464076800,444.45,446.37,442.92,445.8,733.06876826
1464091200,445.67,446.21,444.38,446.15,906.9798901
1464105600,445.55,446.21,444.68,445.7,440.42673612
1464120000,445.7,445.7,443.58,443.97,281.27266938
1464134400,445.31,445.8,444.26,445.8,238.64949736
